,osmid,name,geometry,highway,nodes,oneway,parking:lane:left,parking:lane:both,parking:lane:right,parking:lane:left:capacity,parking:lane:both:capacity,parking:lane:right:capacity,capacity,surface,lanes,cycleway
51,49076164,Pine Street,"LINESTRING (-71.413719 41.8186668, -71.4138153 41.8185654, -71.4138952 41.8184813, -71.4141527 41.8182102, -71.4142603 41.8180909, -71.4145772 41.8177416, -71.4147509 41.8175471)",unclassified,"[201760865, 7908101129, 9904872662, 201404991, 6865739182, 7908101118, 616069498]",yes,,parallel,,0,34,0,34,asphalt,,
52,49076170,East Franklin Street,"LINESTRING (-71.4147509 41.8175471, -71.4148205 41.8174742, -71.414974 41.8173161, -71.4150487 41.8172532)",unclassified,"[616069498, 622651540, 622651543, 201584009]",yes,,,parallel,0,0,4,4,asphalt,,
53,90091972,West Exchange Street,"LINESTRING (-71.4161653 41.8248599, -71.4161423 41.8248599, -71.4159056 41.8248602, -71.4158132 41.8248608)",tertiary,"[1044295016, 8996786988, 8437047398, 201156465]",,,,parallel,0,0,3,3,asphalt,,
54,90091975,Westminster Street,"LINESTRING (-71.4098853 41.8248907, -71.4099869 41.8248163, -71.4104894 41.8244482, -71.4108076 41.8242151, -71.4109912 41.8240807, -71.4112304 41.8239145, -71.4115793 41.823663, -71.4116573 41.8236068, -71.4117151 41.8235663, -71.4122513 41.8231953, -71.4123196 41.823148, -71.4123556 41.8231221, -71.4128808 41.8227444, -71.4131065 41.8225789, -71.4132533 41.8224801, -71.4136001 41.8222305, -71.4136426 41.8222006, -71.4136858 41.8221685, -71.4140474 41.8218997, -71.4143363 41.8216919, -71.414364 41.821673, -71.4143962 41.8216506, -71.4144889 41.8215828, -71.414669 41.8214527, -71.4147961 41.8213609, -71.4152299 41.8210478, -71.4153098 41.8209866)",tertiary,"[201246130, 9888577753, 7129729869, 9888577756, 201319547, 201319550, 9867258360, 201319554, 9867258359, 9908315832, 201319557, 9908315833, 201319565, 3420673039, 201305067, 9908302607, 201319573, 9908302604, 201319577, 9908316108, 201319583, 9908316104, 7205271430, 7205271428, 201319596, 5689655378, 201319599]",yes,,,parallel,0,0,66,66,paved,1,
55,141535657,Fenner Street,"LINESTRING (-71.4166015 41.8188952, -71.4165086 41.8187635, -71.4164289 41.8186507, -71.4159887 41.8184093, -71.4159258 41.8183745)",unclassified,"[201408042, 6755973926, 201408047, 5740714478, 201381716]",,parallel,,,5,0,0,5,asphalt,,
56,145034779,Weybosset Street,"LINESTRING (-71.41099 41.8230979, -71.4109113 41.8231385, -71.410568 41.8233779)",secondary,"[201411316, 5152350666, 201718060]",yes,parallel,,parallel,4,0,2,6,asphalt,,
57,146063018,Park Row West,"LINESTRING (-71.4110158 41.8284287, -71.411106 41.8284254, -71.4112004 41.8284259, -71.411273 41.82844, -71.411436 41.8284874, -71.411571 41.8285535, -71.4116309 41.8285927, -71.4117061 41.8286418)",tertiary,"[201303990, 201303992, 5976631897, 201303994, 201303997, 201304002, 9898076720, 201304007]",,,parallel,,0,15,0,15,asphalt,,
58,162264952,Park Street,"LINESTRING (-71.4168626 41.8319097, -71.4168092 41.8320211, -71.4166718 41.832356, -71.416618 41.83247, -71.4165445 41.8326575, -71.4164114 41.8329804, -71.416306 41.833218, -71.4161638 41.833519, -71.4160697 41.8336936, -71.4159221 41.8339285, -71.4157908 41.834145, -71.4156439 41.8343749)",tertiary,"[201378474, 6658046739, 1593530986, 201503374, 1593531302, 201503377, 201503383, 6658046741, 201503385, 1593530589, 201503389, 6658046740]",yes,,parallel,,0,38,0,38,asphalt,2,
59,162270587,Point Street,"LINESTRING (-71.4100689 41.8154566, -71.4099449 41.8154967, -71.4097513 41.8155762, -71.4095494 41.815651, -71.409497 41.8156714, -71.4094371 41.8156936, -71.4087538 41.8159717, -71.4087385 41.8159777, -71.4086942 41.8159951, -71.4083463 41.8161314, -71.4082664 41.8161626, -71.4079916 41.8162698, -71.4073051 41.8165308, -71.4072555 41.8165497, -71.4071801 41.8165813, -71.4066013 41.8168225, -71.4064653 41.8168807)",primary,"[201302686, 4636819189, 4636819190, 4405117518, 201302692, 4405117520, 201360855, 7915570768, 7273430153, 3732216348, 7046793511, 201302701, 7273430351, 201302710, 7273430352, 7273430106, 201302714]",,,parallel,,0,21,0,21,asphalt,,
60,165671788,Exchange Street,"LINESTRING (-71.4098853 41.8248907, -71.4099539 41.8249375, -71.4102678 41.8251521, -71.4105179 41.825331, -71.4105988 41.8253915)",secondary,"[201246130, 9925893935, 201246126, 5241017166, 201246122]",yes,,,parallel,0,10,0,10,asphalt,,
61,203947206,Dorrance Street,"LINESTRING (-71.4145753 41.8248861, -71.4143466 41.8248469, -71.4136702 41.8247312, -71.4130935 41.8246325, -71.4130157 41.8246039, -71.412933 41.824562, -71.412886 41.824534, -71.4127735 41.8244612)",secondary,"[201252063, 201411279, 7113443469, 201411280, 3875013267, 201411288, 1359940923, 201315081]",,,,parallel,0,0,4,4,asphalt,,shared_lane
62,203947680,Washington Street,"LINESTRING (-71.4110547 41.8257367, -71.4109732 41.8257954, -71.4107974 41.8259197, -71.4103235 41.826261, -71.4102224 41.8263317, -71.41017 41.8263683)",secondary,"[201246119, 1359940918, 201315070, 201315066, 9860944750, 201315062]",yes,,parallel,,0,23,0,23,asphalt,,
63,203948188,Dorrance Street,"LINESTRING (-71.41099 41.8230979, -71.4109288 41.8230458, -71.4105468 41.8227722, -71.4101315 41.8224747, -71.4100873 41.8224434, -71.4100459 41.8224138, -71.4096241 41.8221359, -71.4094968 41.8220519, -71.4094379 41.8220119, -71.4093889 41.8219819, -71.4089236 41.8216935, -71.4087991 41.8216163)",secondary,"[201411316, 5152350661, 5600792525, 5152270266, 201411328, 5152270270, 8280304166, 5152253106, 201411335, 5152253112, 8280304169, 201360666]",,,parallel,,0,44,0,44,asphalt,,
64,273425015,Peck Street,"LINESTRING (-71.4087754 41.8227249, -71.4088224 41.8227521, -71.4094501 41.8230902)",residential,"[201271496, 5152389391, 201271494]",yes,,,parallel,0,0,10,10,asphalt,,
65,273425016,Peck Street,"LINESTRING (-71.4082519 41.8224481, -71.4083594 41.8224894, -71.4087292 41.8226983, -71.4087754 41.8227249)",unclassified,"[201271501, 2782796081, 5152389393, 201271496]",yes,parallel,,,5,0,0,5,asphalt,,
66,287419031,Garnet Street,"LINESTRING (-71.410147 41.8212915, -71.4103336 41.8213454, -71.4109635 41.8215273)",unclassified,"[201786118, 6862343496, 2910197362]",yes,,parallel,,0,19,0,19,asphalt,,
