,geometry,u,v,key,osmid,highway,name,lanes,oneway,length,capacity,ref
17,"LINESTRING (-71.4082475 41.8179582, -71.407906 41.817467)",201423870.0,201521620.0,0.0,761494794.0,unclassified,Richmond Street,,False,61.515,18.0,
18,"LINESTRING (-71.408973 41.817662, -71.408579 41.817084)",201423873.0,201315000.0,0.0,19395298.0,unclassified,Chestnut Street,,False,72.089,24.0,
19,"LINESTRING (-71.408973 41.817662, -71.4090346 41.817721)",201423873.0,201708117.0,0.0,19395298.0,unclassified,Chestnut Street,,False,8.313,24.0,
20,"LINESTRING (-71.410398 41.8198539, -71.4101519 41.8197155)",201430907.0,201521594.0,0.0,660831878.0,unclassified,Richmond Street,2,False,25.549,12.0,
21,"LINESTRING (-71.410398 41.8198539, -71.4104581 41.819886)",201430907.0,4569158432.0,0.0,660831878.0,unclassified,Richmond Street,2,False,6.127,12.0,
22,"LINESTRING (-71.409592 41.817966, -71.40952040000001 41.8179345)",201505930.0,7150287911.0,0.0,19395298.0,unclassified,Chestnut Street,,False,6.89,24.0,
23,"LINESTRING (-71.409592 41.817966, -71.409966 41.818134)",201505930.0,201209532.0,0.0,19395298.0,unclassified,Chestnut Street,,False,36.188,24.0,
24,"LINESTRING (-71.4101519 41.8197155, -71.4099731 41.8196144)",201521594.0,201521597.0,0.0,660831878.0,unclassified,Richmond Street,2,False,18.599,12.0,
25,"LINESTRING (-71.4101519 41.8197155, -71.410398 41.8198539)",201521594.0,201430907.0,0.0,660831878.0,unclassified,Richmond Street,2,False,25.549,12.0,
26,"LINESTRING (-71.4099731 41.8196144, -71.409856 41.8195538)",201521597.0,201521601.0,0.0,660831878.0,unclassified,Richmond Street,2,False,11.814,12.0,
27,"LINESTRING (-71.4099731 41.8196144, -71.4101519 41.8197155)",201521597.0,201521594.0,0.0,660831878.0,unclassified,Richmond Street,2,False,18.599,12.0,
28,"LINESTRING (-71.409856 41.8195538, -71.4097416 41.8194923)",201521601.0,3509420239.0,0.0,660831878.0,unclassified,Richmond Street,2,False,11.689,12.0,
29,"LINESTRING (-71.409856 41.8195538, -71.4099731 41.8196144)",201521601.0,201521597.0,0.0,660831878.0,unclassified,Richmond Street,2,False,11.814,12.0,
30,"LINESTRING (-71.40925 41.8192268, -71.409173 41.8191884)",201521605.0,201521609.0,0.0,660831878.0,unclassified,Richmond Street,2,False,7.678,12.0,
31,"LINESTRING (-71.40925 41.8192268, -71.40966160000001 41.8194513)",201521605.0,6755973818.0,0.0,660831878.0,unclassified,Richmond Street,2,False,42.268,12.0,
32,"LINESTRING (-71.409173 41.8191884, -71.409113 41.8191409)",201521609.0,201521613.0,0.0,660831878.0,unclassified,Richmond Street,2,False,7.254,12.0,
33,"LINESTRING (-71.409173 41.8191884, -71.40925 41.8192268)",201521609.0,201521605.0,0.0,660831878.0,unclassified,Richmond Street,2,False,7.678,12.0,
34,"LINESTRING (-71.409113 41.8191409, -71.40986599999999 41.819019)",201521613.0,201209519.0,0.0,461418257.0,unclassified,Ship Street,,False,63.855,5.0,
35,"LINESTRING (-71.409113 41.8191409, -71.409173 41.8191884)",201521613.0,201521609.0,0.0,660831878.0,unclassified,Richmond Street,2,False,7.254,12.0,
36,"LINESTRING (-71.407906 41.817467, -71.407844 41.817371)",201521620.0,201314996.0,0.0,761494794.0,unclassified,Richmond Street,,False,11.847,18.0,
37,"LINESTRING (-71.407906 41.817467, -71.4082475 41.8179582)",201521620.0,201423870.0,0.0,761494794.0,unclassified,Richmond Street,,False,61.515,18.0,
38,"LINESTRING (-71.40816220000001 41.8213326, -71.4081815 41.8216399)",201569735.0,201569740.0,0.0,544197958.0,primary,Dyer Street,3,False,34.208,7.0,
39,"LINESTRING (-71.40816220000001 41.8213326, -71.4081521 41.8212104)",201569735.0,5255991882.0,0.0,544197958.0,primary,Dyer Street,3,False,13.614,7.0,
40,"LINESTRING (-71.4081815 41.8216399, -71.40820069999999 41.8219891)",201569740.0,6755695544.0,0.0,544197958.0,primary,Dyer Street,3,False,38.862,7.0,
41,"LINESTRING (-71.4081815 41.8216399, -71.40816220000001 41.8213326)",201569740.0,201569735.0,0.0,544197958.0,primary,Dyer Street,3,False,34.208,7.0,
42,"LINESTRING (-71.410347 41.82217, -71.410276 41.8221319)",201583981.0,201680133.0,0.0,751130790.0,unclassified,Eddy Street,,False,7.25,12.0,
43,"LINESTRING (-71.4129451 41.8194654, -71.4121916 41.8191513)",201622522.0,201708273.0,0.0,660831883.0,tertiary,Chestnut Street,,False,71.546,6.0,
44,"LINESTRING (-71.410276 41.8221319, -71.4102199 41.8220753)",201680133.0,201680135.0,0.0,751130790.0,unclassified,Eddy Street,,False,7.824,12.0,
45,"LINESTRING (-71.410276 41.8221319, -71.410347 41.82217)",201680133.0,201583981.0,0.0,751130790.0,unclassified,Eddy Street,,False,7.25,12.0,
46,"LINESTRING (-71.4102199 41.8220753, -71.4099551 41.8217056)",201680135.0,6862343499.0,0.0,751130790.0,unclassified,Eddy Street,,False,46.598,12.0,
47,"LINESTRING (-71.4102199 41.8220753, -71.410276 41.8221319)",201680135.0,201680133.0,0.0,751130790.0,unclassified,Eddy Street,,False,7.824,12.0,
48,"LINESTRING (-71.409863 41.8215769, -71.4099551 41.8217056)",201680141.0,6862343499.0,0.0,751130790.0,unclassified,Eddy Street,,False,16.219,12.0,
49,"LINESTRING (-71.410614 41.818424, -71.409966 41.818134)",201708114.0,201209532.0,0.0,19395298.0,unclassified,Chestnut Street,,False,62.638,24.0,
50,"LINESTRING (-71.410614 41.818424, -71.4108033 41.8185047)",201708114.0,7079844804.0,0.0,19395298.0,unclassified,Chestnut Street,,False,18.072,24.0,
51,"LINESTRING (-71.4090346 41.817721, -71.408973 41.817662)",201708117.0,201423873.0,0.0,19395298.0,unclassified,Chestnut Street,,False,8.313,24.0,
52,"LINESTRING (-71.4090346 41.817721, -71.40952040000001 41.8179345)",201708117.0,7150287911.0,0.0,19395298.0,unclassified,Chestnut Street,,False,46.737,24.0,
53,"LINESTRING (-71.4121916 41.8191513, -71.4129451 41.8194654)",201708273.0,201622522.0,0.0,660831883.0,tertiary,Chestnut Street,,False,71.546,6.0,
54,"LINESTRING (-71.410591 41.818962, -71.41082179999999 41.8189552)",201724703.0,7150287909.0,0.0,461418252.0,unclassified,Ship Street,,True,19.141,10.0,
55,"LINESTRING (-71.4115465 41.8175, -71.4115942 41.817524)",201724711.0,6423429717.0,0.0,49075843.0,unclassified,Claverick Street,,False,4.769,10.0,
56,"LINESTRING (-71.40835939999999 41.8224894, -71.4087334 41.8227002)",2782796081.0,5152389393.0,0.0,273425016.0,unclassified,Peck Street,,True,38.857,5.0,
57,"LINESTRING (-71.4097416 41.8194923, -71.40966160000001 41.8194513)",3509420239.0,6755973818.0,0.0,660831878.0,unclassified,Richmond Street,2,False,8.046,12.0,
58,"LINESTRING (-71.4097416 41.8194923, -71.409856 41.8195538)",3509420239.0,201521601.0,0.0,660831878.0,unclassified,Richmond Street,2,False,11.689,12.0,
59,"LINESTRING (-71.4082963 41.8166819, -71.4079916 41.8162698)",3732216356.0,201302701.0,0.0,19395298.0,unclassified,Chestnut Street,,False,52.32,24.0,
60,"LINESTRING (-71.4082963 41.8166819, -71.408579 41.817084)",3732216356.0,201315000.0,0.0,19395298.0,unclassified,Chestnut Street,,False,50.478,24.0,
61,"LINESTRING (-71.4082338 41.8223001, -71.40822729999999 41.8222311)",4041069695.0,6755695537.0,0.0,544197958.0,primary,Dyer Street,3,False,7.691,7.0,
62,"LINESTRING (-71.4094568 41.8156148, -71.40924320000001 41.8153188)",4405117517.0,7114724557.0,0.0,761494799.0,unclassified,Hospital Street,,False,37.372,5.0,
63,"LINESTRING (-71.4094568 41.8156148, -71.409497 41.8156714)",4405117517.0,201302692.0,0.0,761494799.0,unclassified,Hospital Street,,False,7.121,5.0,
64,"LINESTRING (-71.4104581 41.819886, -71.410398 41.8198539)",4569158432.0,201430907.0,0.0,660831878.0,unclassified,Richmond Street,2,False,6.127,12.0,
65,"LINESTRING (-71.4115039 41.818803, -71.4110424 41.8186065)",4569158439.0,7079844803.0,0.0,19395298.0,unclassified,Chestnut Street,,False,44.046,24.0,
66,"LINESTRING (-71.4087334 41.8227002, -71.4087754 41.8227249)",5152389393.0,201271496.0,0.0,273425016.0,unclassified,Peck Street,,True,4.433,5.0,
67,"LINESTRING (-71.4081521 41.8212104, -71.40816220000001 41.8213326)",5255991882.0,201569735.0,0.0,544197958.0,primary,Dyer Street,3,False,13.614,7.0,
68,"LINESTRING (-71.4115942 41.817524, -71.4115465 41.8175)",6423429717.0,201724711.0,0.0,49075843.0,unclassified,Claverick Street,,False,4.769,10.0,
69,"LINESTRING (-71.4115942 41.817524, -71.41195260000001 41.8177043)",6423429717.0,7150287905.0,0.0,49075843.0,unclassified,Claverick Street,,False,35.834,10.0,
70,"LINESTRING (-71.4112883 41.8189416, -71.4113704 41.8189416)",6688133306.0,201735888.0,0.0,461418252.0,unclassified,Ship Street,,True,6.804,10.0,
71,"LINESTRING (-71.40822729999999 41.8222311, -71.4082338 41.8223001)",6755695537.0,4041069695.0,0.0,544197958.0,primary,Dyer Street,3,False,7.691,7.0,
72,"LINESTRING (-71.40822729999999 41.8222311, -71.4082204 41.8221573)",6755695537.0,201123251.0,0.0,544197958.0,primary,Dyer Street,3,False,8.226,7.0,
73,"LINESTRING (-71.40820069999999 41.8219891, -71.4082204 41.8221573)",6755695544.0,201123251.0,0.0,544197958.0,primary,Dyer Street,3,False,18.774,7.0,
74,"LINESTRING (-71.40820069999999 41.8219891, -71.4081815 41.8216399)",6755695544.0,201569740.0,0.0,544197958.0,primary,Dyer Street,3,False,38.862,7.0,
75,"LINESTRING (-71.40966160000001 41.8194513, -71.40925 41.8192268)",6755973818.0,201521605.0,0.0,660831878.0,unclassified,Richmond Street,2,False,42.268,12.0,
76,"LINESTRING (-71.40966160000001 41.8194513, -71.4097416 41.8194923)",6755973818.0,3509420239.0,0.0,660831878.0,unclassified,Richmond Street,2,False,8.046,12.0,
77,"LINESTRING (-71.4099551 41.8217056, -71.409863 41.8215769)",6862343499.0,201680141.0,0.0,751130790.0,unclassified,Eddy Street,,False,16.219,12.0,
78,"LINESTRING (-71.4099551 41.8217056, -71.4102199 41.8220753)",6862343499.0,201680135.0,0.0,751130790.0,unclassified,Eddy Street,,False,46.598,12.0,
79,"LINESTRING (-71.4110424 41.8186065, -71.4108033 41.8185047)",7079844803.0,7079844804.0,0.0,19395298.0,unclassified,Chestnut Street,,False,22.82,24.0,
80,"LINESTRING (-71.4110424 41.8186065, -71.4115039 41.818803)",7079844803.0,4569158439.0,0.0,19395298.0,unclassified,Chestnut Street,,False,44.046,24.0,
81,"LINESTRING (-71.4108033 41.8185047, -71.410614 41.818424)",7079844804.0,201708114.0,0.0,19395298.0,unclassified,Chestnut Street,,False,18.072,24.0,
82,"LINESTRING (-71.4108033 41.8185047, -71.4110424 41.8186065)",7079844804.0,7079844803.0,0.0,19395298.0,unclassified,Chestnut Street,,False,22.82,24.0,
83,"LINESTRING (-71.40924320000001 41.8153188, -71.4094568 41.8156148)",7114724557.0,4405117517.0,0.0,761494799.0,unclassified,Hospital Street,,False,37.372,5.0,
84,"LINESTRING (-71.41195260000001 41.8177043, -71.4115942 41.817524)",7150287905.0,6423429717.0,0.0,49075843.0,unclassified,Claverick Street,,False,35.834,10.0,
85,"LINESTRING (-71.41195260000001 41.8177043, -71.4123469 41.8179027)",7150287905.0,201360701.0,0.0,49075843.0,unclassified,Claverick Street,,False,39.426,10.0,
86,"LINESTRING (-71.41082179999999 41.8189552, -71.4112883 41.8189416)",7150287909.0,6688133306.0,0.0,461418252.0,unclassified,Ship Street,,True,38.688,10.0,
87,"LINESTRING (-71.40952040000001 41.8179345, -71.4090346 41.817721)",7150287911.0,201708117.0,0.0,19395298.0,unclassified,Chestnut Street,,False,46.737,24.0,
88,"LINESTRING (-71.40952040000001 41.8179345, -71.409592 41.817966)",7150287911.0,201505930.0,0.0,19395298.0,unclassified,Chestnut Street,,False,6.89,24.0,
89,"LINESTRING (-71.4082204 41.8221573, -71.40832450000001 41.8221029)",201123251.0,6688133307.0,0.0,423738878.0,tertiary,Clifford Street,,True,10.536,32.0,
90,"LINESTRING (-71.410805 41.817505, -71.4105 41.817055)",201209546.0,201423880.0,0.0,19390131.0,unclassified,Hospital Street,,False,56.059,27.0,
